"DATA RESERVATION","CubeDataReservationReleaseAll","CubeDataReservationReleaseAll(Cube, UserFilter, Address, [AddressDelimiter])","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/c_tm1_dev_dr_cubedatareservationreleaseall.html#TM1_dev_dr_CubeDataReservationReleaseAll"
"DATA RESERVATION","CubeDataReservationGet","CubeDataReservationGet(Index, Cube, User, [AddressDelimiter])","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/c_tm1_dev_dr_cubedatareservationget.html#TM1_dev_dr_CubeDataReservationGet"
"DATA RESERVATION","CubeDataReservationGetConflicts","CubeDataReservationGetConflicts(Index, Cube, User, Address, [AddressDelimiter])","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/c_tm1_dev_dr_cubedatareservationgetconflicts.html#TM1_dev_dr_CubeDataReservationGetConflicts"

"DATE AND TIME","FormatDate","FormatDate(Date, <Pattern>, <Index>)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_formatdate.html"
"DATE AND TIME","NewDateFormatter","NewDateFormatter(Locale, <TimeZone>, <UseUNIXTime>, <FormatterStyle>, <FormatterType>, <TimeType>)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_newdateformatter.html"
"DATE AND TIME","ParseDate","ParseDate (DateString, <Pattern>, <Index>)","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_parsedate.html"

"DIMENSION","DimensionCreate","DimensionCreate(DimName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensioncreate.html#tm1_ref_tifun_dimensioncreate"
"DIMENSION","DimensionDeleteAllElements","DimensionDeleteAllElements(DimName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensiondeleteallelements.html#tm1_ref_tifun_dimensiondeleteallelements"
"DIMENSION","DimensionDestroy","DimensionDestroy(DimName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensiondestroy.html#tm1_ref_tifun_dimensiondestroy"
"DIMENSION","DimensionElementComponentAdd","DimensionElementComponentAdd(DimName, ConsolidatedElName,ElName, ElWeight);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensionelementcomponentadd.html#tm1_ref_tifun_dimensionelementcomponentadd"
"DIMENSION","DimensionElementComponentAddDirect","DimensionElementComponentAddDirect(DimName, ConsolidatedElName,ElName, ElWeight);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensionelementcomponentadddirect.html"
"DIMENSION","DimensionElementComponentDelete","DimensionElementComponentDelete(DimName, ConsolidatedElName,ElName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensionelementcomponentdelete.html#tm1_ref_tifun_dimensionelementcomponentdelete"
"DIMENSION","DimensionElementComponentDeleteDirect","DimensionElementComponentDeleteDirect(DimName, ConsolidatedElName,ElName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensionelementcomponentdeletedirect.html"
"DIMENSION","DimensionElementDelete","DimensionElementDelete(DimName, ElName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensionelementdelete.html#tm1_ref_tifun_dimensionelementdelete"
"DIMENSION","DimensionElementDeleteDirect","DimensionElementDeleteDirect(DimName, ElName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensionelementdeletedirect.html"
"DIMENSION","DimensionElementInsert","DimensionElementInsert(DimName, InsertionPoint, ElName,ElType);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensionelementinsert.html#tm1_ref_tifun_dimensionelementinsert"
"DIMENSION","DimensionElementInsertDirect","DimensionElementInsertDirect(DimName, InsertionPoint, ElName,ElType);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensionelementinsertdirect.html"
"DIMENSION","DimensionElementPrincipalName","DimensionElementPrincipalName( DimName, ElName )","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensionelementprincipalname.html#tm1_ref_tifun_dimensionelementprincipalname"
"DIMENSION","DimensionExists","DimensionExists(DimName);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensionexists.html#tm1_ref_tifun_dimensionexists"
"DIMENSION","DimensionSortOrder","DimensionSortOrder(DimName, CompSortType, CompSortSense,ElSortType , ElSortSense);","https://www.ibm.com/support/knowledgecenter/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_tifun_dimensionsortorder.html#tm1_ref_tifun_dimensionsortorder"
