"Date and Time Rules","MONTH","MONTH(date)","https://www.ibm.com/support/knowledgecenter/en/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_month.html#tm1_ref_month"
"Date and Time Rules","NOW","NOW","https://www.ibm.com/support/knowledgecenter/en/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_now.html#tm1_ref_now"
"Date and Time Rules","TIME","TIME","https://www.ibm.com/support/knowledgecenter/en/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_time.html#tm1_ref_time"
"Date and Time Rules","TIMST","TIMST(datetime, format, ExtendedYears)","https://www.ibm.com/support/knowledgecenter/en/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_timst.html#tm1_ref_timst"
"Date and Time Rules","TIMVL","TIMVL(datetime, type, ExtendedYears)","https://www.ibm.com/support/knowledgecenter/en/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_timvl.html#tm1_ref_timvl"
"Date and Time Rules","TODAY","TODAY(<ReturnFourDigitYear>)","https://www.ibm.com/support/knowledgecenter/en/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_today.html#tm1_ref_today"
"Date and Time Rules","YEAR","YEAR(date)","https://www.ibm.com/support/knowledgecenter/en/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_year.html#tm1_ref_year"
"Dimension Information Rules","ConsolidateChildren","ConsolidateChildren(DimName1, DimName2, ...)","https://www.ibm.com/support/knowledgecenter/en/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_consolidatechildren.html?view=embed#tm1_ref_consolidatechildren"
"Dimension Information Rules","DIMNM","DIMNM(server_name:dimension, index)","https://www.ibm.com/support/knowledgecenter/en/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_dimnm.html#tm1_ref_dimnm"
"Dimension Information Rules","DIMSIZ","DIMSIZ(dimension)","https://www.ibm.com/support/knowledgecenter/en/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_dimsiz.html#tm1_ref_dimsiz"
"Dimension Information Rules","DNEXT","DNEXT(dimension, element)","https://www.ibm.com/support/knowledgecenter/en/SS9RXT_10.2.2/com.ibm.swg.ba.cognos.tm1_ref.10.2.2.doc/r_tm1_ref_dnext.html#tm1_ref_dnext"
